SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
DMSP 5D-2 F9 (USA 29),1988-006A,18822,3-Feb-88,17-Dec-12,10,3,810,800,98.8,UNKNOWN,,1988,2012,,,,,,,,
COSMOS 1916,1988-007A,18823,3-Feb-88,27-Feb-88,1,0,230,150,64.8,DELIBERATE,SELF-DESTRUCT,1988,1988,,,,,,,,
COSMOS 1934,1988-023A,18985,22-Mar-88,23-Dec-91,3,3,1010,950,83,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (13475),1988,1991,,,,,,,,
INTELSAT 513 R/B,1988-040B,19122,17-May-88,9-Jul-02,8,8,35445,535,7,PROPULSION,ARIANE 2 R/B,1988,2002,,,,,,,,
COSMOS 1970-72 ULLAGE MOTOR,1988-085F,19535,16-Sep-88,4-Aug-03,79,10,18515,720,65.3,PROPULSION,PROTON-K BLOCK DM SOZ,1988,2003,,,,,,,,
COSMOS 1970-72 ULLAGE MOTOR,1988-085G,19537,16-Sep-88,9-Mar-99,1,1,18950,300,64.6,PROPULSION,PROTON-K BLOCK DM SOZ,1988,1999,,,,,,,,
COSMOS 1682,1985-082A,16054,19-Sep-85,18-Dec-86,23,0,475,385,65,UNKNOWN,COSMOS 699 CLASS,1985,1986,,,,,,,,
SKYNET 4B/ASTRA 1A R/B,1988-109C,19689,11-Dec-88,17-Feb-98,18,17,35875,435,7.3,PROPULSION,ARIANE 4 H10 FINAL STAGE,1988,1998,,,,,,,,
COSMOS 1987-89 ULLAGE MOTOR,1989-001H,19856,10-Jan-89,13-Nov-03,1,1,18740,710,65.4,PROPULSION,PROTON-K BLOCK DM SOZ,1989,2003,,,,,,,,
ULLAGE MOTOR,1989-001G,19755,10-Jan-89,3-Aug-98,16,6,19055,340,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1998,,,,,,,,
INTELSAT 515 R/B,1989-006B,19773,27-Jan-89,1-Jan-01,87,86,35720,510,8.4,PROPULSION,ARIANE 2 R/B,1989,2001,,,,,,,,
COSMOS 2022-24 ULLAGE MOTOR,1989-039G,20081,31-May-89,10-Jun-06,120,43,18410,655,65.1,PROPULSION,PROTON-K BLOCK DM SOZ,1989,2006,,,,,,,,
GORIZONT 18 ULLAGE MOTOR,1989-052F,20116,5-Jul-89,12-Jan-93,2,0,36745,260,46.8,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1993,,,,,,,,
COSMOS 2030,1989-054A,20124,12-Jul-89,28-Jul-89,1,0,215,150,67.1,DELIBERATE,SELF-DESTRUCT,1989,1989,,,,,,,,
COSMOS 2031,1989-056A,20136,18-Jul-89,31-Aug-89,9,0,365,240,50.5,DELIBERATE,SELF-DESTRUCT,1989,1989,,,,,,,,
COBE R/B,1989-089B,20323,18-Nov-89,3-Dec-06,26,1,790,685,97.1,UNKNOWN,DELTA SECOND STAGE,1989,2006,,,,,,,,
COSMOS 2053 R/B,1989-100B,20390,27-Dec-89,18-Apr-99,26,0,485,475,73.5,PROPULSION,TSYKLON THIRD STAGE,1989,1999,,,,,,,,
COSMOS 2054 ULLAGE MOTOR,1989-101E,20399,27-Dec-89,1-Jul-92,14,2,27650,345,47.1,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1992,,,,,,,,
COSMOS 2079-81 ULLAGE MOTOR,1990-045F,20630,19-May-90,17-Nov-11,1,1,18620,420,65,PROPULSION,PROTON-K BLOCK DM SOZ,1990,2011,,,,,,,,
COSMOS 2079-81 ULLAGE MOTOR,1990-045G,20631,19-May-90,28-Mar-99,1,1,19065,405,64.8,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1999,,,,,,,,
FENGYUN 1-2 R/B,1990-081D,20791,3-Sep-90,4-Oct-90,103,75,895,880,98.9,PROPULSION,CZ-4 FINAL STAGE,1990,1990,,,,,,,,
COSMOS 2101,1990-087A,20828,1-Oct-90,30-Nov-90,4,0,280,195,64.8,DELIBERATE,SELF-DESTRUCT,1990,1990,,,,,,,,
GORIZONT 22 ULLAGE MOTOR,1990-102E,20957,23-Nov-90,14-Dec-95,2,1,13105,170,46.5,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1995,,,,,,,,
USA 68,1990-105A,20978,1-Dec-90,1-Dec-90,29,1,850,610,98.9,PROPULSION,TE-M-364-15 UPPER STAGE,1990,1990,,,,,,,,
COSMOS 2109-11 ULLAGE MOTOR,1990-110G,21012,8-Dec-90,21-Feb-03,1,1,18805,645,65.4,PROPULSION,PROTON-K BLOCK DM SOZ,1990,2003,,,,,,,,
COSMOS 2109-11 ULLAGE MOTOR,1990-110H,21013,8-Dec-90,14-Mar-98,2,2,18995,520,65.1,PROPULSION,PROTON-K BLOCK DM SOZ,1990,1998,,,,,,,,
ITALSAT 1/EUTELSAT 2 F2 R/B,1991-003C,21057,15-Jan-91,1-May-96,15,12,30930,235,6.7,PROPULSION,ARIANE 4 H10 FINAL STAGE,1991,1996,,,,,,,,
COSMOS 2125-32 R/B,1991-009J,21108,12-Feb-91,5-Mar-91,112,112,1725,1460,74,PROPULSION,COSMOS SECOND STAGE,1991,1991,,,,,,,,
COSMOS 2133 ULLAGE MOTOR,1991-010D,21114,12-Feb-91,7-May-94,4,0,21805,225,46.6,PROPULSION,PROTON-K BLOCK DM SOZ,1991,1994,,,,,,,,
ASTRA 1B/MOP 2 R/B,1991-015C,21141,2-Mar-91,27-Apr-94,11,7,17630,205,6.8,PROPULSION,ARIANE 4 H10 FINAL STAGE,1991,1994,,,,,,,,
COSMOS 2139-41 ULLAGE MOTOR,1991-025F,21220,4-Apr-91,8-Mar-09,33,11,18535,465,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1991,2009,,,,,,,,
COSMOS 2139-41 ULLAGE MOTOR,1991-025G,21226,4-Apr-91,16-Jun-01,1,1,18960,300,64.5,PROPULSION,PROTON-K BLOCK DM SOZ,1991,2001,,,,,,,,
COSMOS 2157-62 R/B,1991-068G,21734,28-Sep-91,9-Oct-99,40,40,1485,1410,82.6,PROPULSION,TSYKLON THIRD STAGE,1991,1999,,,,,,,,
COSMOS 2163,1991-071A,21741,9-Oct-91,6-Dec-91,1,0,260,185,64.8,DELIBERATE,SELF-DESTRUCT,1991,1991,,,,,,,,
INTELSAT 601 R/B,1991-075B,21766,29-Oct-91,24-Dec-01,13,8,28505,230,7.2,PROPULSION,ARIANE 4 H10 FINAL STAGE,1991,2001,,,,,,,,
USA 73 (DMSP 5D2 F11),1991-082A,21798,28-Nov-91,15-Apr-04,85,65,850,830,98.7,UNKNOWN,,1991,2004,,,,,,,,
MOTOR,1989-004E,19771,26-Jan-89,17-Dec-92,1,0,17575,195,46.7,PROPULSION,PROTON-K BLOCK DM SOZ,1989,1992,,,,,,,,
TELECOM 2B/INMARSAT 2 R/B,1992-021C,21941,15-Apr-92,21-Apr-93,18,17,34080,235,4,PROPULSION,ARIANE 4 H10+ FINAL STAGE,1992,1993,,,,,,,,
COSMOS 2204-06 ULLAGE MOTOR,1992-047G,22066,30-Jul-92,10-Jul-04,34,12,18820,415,64.9,PROPULSION,PROTON-K BLOCK DM SOZ,1992,2004,,,,,,,,
2F4 R/B,1992-041C,22032,9-Jul-92,1-Feb-02,2,2.1,26550,250,7,PROPULSION,ARIANE 4 H10 FINAL STAGE,1992,2002,,,,,,,,
GORIZONT 27 ULLAGE MOTOR,1992-082F,22250,27-Nov-92,14-Jul-01,1,0,5340,145,46.5,PROPULSION,PROTON-K BLOCK DM SOZ,1992,2001,,,,,,,,
ULLAGE MOTOR,1992-047H,22067,30-Jul-92,8-Nov-94,4,2,19035,480,64.8,PROPULSION,PROTON-K BLOCK DM SOZ,1992,1994,,,,,,,,
COSMOS 2225,1992-091A,22280,22-Dec-92,18-Feb-93,6,0,280,225,64.9,DELIBERATE,SELF-DESTRUCT,1992,1993,,,,,,,,
COSMOS 2227 R/B,1992-093B,22285,25-Dec-92,26-Dec-92,279,196,855,845,71,PROPULSION,ZENIT-2 SECOND STAGE,1992,1992,,,,,,,,
COSMOS 2237 R/B,1993-016B,22566,26-Mar-93,28-Mar-93,104,100,850,840,71,PROPULSION,ZENIT-2 SECOND STAGE,1993,1993,,,,,,,,
COSMOS 2238,1993-018A,22585,30-Mar-93,1-Dec-94,1,0,305,210,65,UNKNOWN,COSMOS 699 CLASS,1993,1994,,,,,,,,
COSMOS 2243,1993-028A,22641,27-Apr-93,27-Apr-93,1,0,225,180,70.4,DELIBERATE,SELF-DESTRUCT,1993,1993,,,,,,,,
COSMOS 2251,1993-036A,22675,16-Jun-93,10-Feb-09,1668,1076,800,775,74,"COLLISION, ACCIDENTAL",COLLIDED WITH IRIDIUM 33,1993,2009,,,,,,,,
COSMOS 2259,1993-045A,22716,14-Jul-93,25-Jul-93,1,0,320,175,67.1,DELIBERATE,SELF-DESTRUCT,1993,1993,,,,,,,,
COSMOS 2262,1993-057A,22789,7-Sep-93,18-Dec-93,1,0,295,170,64.9,DELIBERATE,SELF-DESTRUCT,1993,1993,,,,,,,,
GORIZONT 29 ULLAGE MOTOR,1993-072E,22925,18-Nov-93,6-Sep-00,1,0,11215,140,46.7,PROPULSION,PROTON-K BLOCK DM SOZ,1993,2000,,,,,,,,
CLEMENTINE R/B,1994-004B,22974,25-Jan-94,7-Feb-94,1,0,295,240,67,PROPULSION,,1994,1994,,,,,,,,
STEP II R/B,1994-029B,23106,19-May-94,3-Jun-96,754,82,820,585,82,PROPULSION,PEGASUS HAPS,1994,1996,,,,,,,,
COSMOS 2282 ULLAGE MOTOR,1994-038F,23174,6-Jul-94,21-Oct-95,2,0,34930,280,47,PROPULSION,PROTON-K BLOCK DM SOZ,1994,1995,,,,,,,,
ELEKTRO ULLAGE MOTOR,1994-069E,23338,31-Oct-94,11-May-95,1,0,35465,155,46.9,PROPULSION,PROTON-K BLOCK DM SOZ,1994,1995,,,,,,,,
COSMOS 2294-96 ULLAGE MOTOR,1994-076G,23402,20-Nov-94,7-Jun-14,2,2,18990,420,65,PROPULSION,PROTON-K BLOCK DM SOZ,1994,2014,,,,,,,,
RS-15 R/B,1994-085B,23440,26-Dec-94,26-Dec-94,26,23,2200,1880,64.8,UNKNOWN,ROKOT THIRD STAGE,1994,1994,,,,,,,,
USA 109 (DMSP 5D-2 F13),1995-015A,23533,24-Mar-95,3-Feb-15,236,219,840,840,98.8,BATTERY,Operational at event time,1995,2015,,,,,,,,
COSMOS 2313,1995-028A,23596,8-Jun-95,26-Jun-97,13,0,325,210,65,UNKNOWN,COSMOS 699 CLASS,1995,1997,,,,,,,,
CERISE,1995-033B,23606,7-Jul-95,24-Jul-96,2,1,675,665,98.1,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (18208),1995,1996,,,,,,,,
COSMOS 2316-18 ULLAGE MOTOR,1995-037K,23631,24-Jul-95,21-Nov-00,1,0,18085,150,64.4,PROPULSION,PROTON-K BLOCK DM SOZ,1995,2000,,,,,,,,
RADUGA 33 R/B,1996-010D,23797,19-Feb-96,19-Feb-96,1,0,36505,240,48.7,PROPULSION,PROTON-K BLOCK DM,1996,1996,,,,,,,,
GORIZONT 32 ULLAGE MOTOR,1996-034F,23887,25-May-96,13-Dec-99,1,0,5605,145,46.5,PROPULSION,PROTON-K BLOCK DM SOZ,1996,1999,,,,,,,,
COSMOS 2343,1997-024A,24805,15-May-97,16-Sep-97,1,0,285,225,65,DELIBERATE,SELF-DESTRUCT,1997,1997,,,,,,,,
IRIDIUM 33,1997-051C,24946,14-Sep-97,10-Feb-09,628,333,780,775,86.4,"COLLISION, ACCIDENTAL",COLLIDED WITH COSMOS 2251,1997,2009,,,,,,,,
KUPON ULLAGE MOTOR,1997-070F,25054,12-Nov-97,14-Feb-07,7,4,14160,260,46.6,PROPULSION,PROTON-K BLOCK DM SOZ,1997,2007,,,,,,,,
ULLAGE MOTOR,1992-088F,22274,17-Dec-92,22-Apr-05,1,0,21140,200,46.7,PROPULSION,PROTON-K BLOCK DM SOZ,1992,2005,,,,,,,,
COSMOS 2347,1997-079A,25088,9-Dec-97,22-Nov-99,9,0,410,230,65,UNKNOWN,COSMOS 699 CLASS,1997,1999,,,,,,,,
ASIASAT 3 R/B,1997-086D,25129,24-Dec-97,25-Dec-97,1,0,35995,270,51,PROPULSION,PROTON-K BLOCK DM,1997,1997,,,,,,,,
COMETS R/B,1998-011B,25176,21-Feb-98,21-Feb-98,1,0,1880,245,30,PROPULSION,H-II SECOND STAGE,1998,1998,,,,,,,,
ARGOS/ORSTED/SUN SAT R/B,1999-008D,25637,23-Feb-99,28-Apr-14,8,1,840,635,96.5,UNKNOWN,DELTA 2 SECOND STAGE,1999,2014,,,,,,,,
FENGYUN 1C,1999-025A,25730,10-May-99,11-Jan-07,3442,2832,865,845,98.6,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,1999,2007,,,,,,,,
CBERS 1,1999-057A,25940,14-Oct-99,18-Feb-07,88,53,780,770,98.2,UNKNOWN,,1999,2007,,,,,,,,
CBERS 1/SACI 1 R/B,1999-057C,25942,14-Oct-99,11-Mar-00,344,150,745,725,98.5,PROPULSION,CZ-4 FINAL STAGE,1999,2000,,,,,,,,
COSMOS 2367,1999-072A,26040,26-Dec-99,21-Nov-01,17,0,415,405,65,UNKNOWN,COSMOS 699 CLASS,1999,2001,,,,,,,,
COSMOS 2371 ULLAGE MOTOR,2000-036E,26398,4-Jul-00,1-Sep-06,1,0,21320,220,46.9,PROPULSION,PROTON-K BLOCK DM SOZ,2000,2006,,,,,,,,
NOAA 16,2000-055A,26536,21-Sep-00,25-Nov-15,458,458,858,842,98.9,UNKNOWN,,2000,2015,,,,,,,,
TES R/B,2001-049D,26960,22-Oct-01,19-Dec-01,372,72,675,550,97.9,PROPULSION,PSLV FINAL STAGE,2001,2001,,,,,,,,
COSMOS 2383,2001-057A,27053,21-Dec-01,28-Feb-04,14,0,400,220,65,UNKNOWN,COSMOS 699 CLASS,2001,2004,,,,,,,,
COSMOS 2392 ULLAGE MOTOR,2002-037E,27474,25-Jul-02,1-Jun-05,61,0,835,255,63.7,PROPULSION,PROTON-K BLOCK DM SOZ,2002,2005,,,,,,,,
COSMOS 2392 ULLAGE MOTOR,2002-037F,27475,25-Jul-02,29-Oct-04,1,0,840,235,63.6,PROPULSION,PROTON-K BLOCK DM SOZ,2002,2004,,,,,,,,
COSMOS 2399,2003-035A,27856,12-Aug-03,9-Dec-03,22,0,250,175,64.9,DELIBERATE,SELF-DESTRUCT,2003,2003,,,,,,,,
ALOS-1 R/B,2006-002B,28932,24-Jan-06,8-Aug-06,24,3,700,550,98.2,UNKNOWN,H-IIA SECOND STAGE,2006,2006,,,,,,,,
ARABSAT 4 BRIZ-M R/B,2006-006B,28944,28-Feb-06,19-Feb-07,102,92,14705,495,51.5,PROPULSION,PROTON-K BRIZ-M STAGE,2006,2007,,,,,,,,
YAOGAN 1,2006-015A,29092,26-Apr-06,4-Feb-10,8,2,630,625,97.9,UNKNOWN,,2006,2010,,,,,,,,
COSMOS 2421,2006-026A,29247,25-Jun-06,14-Mar-08,509,0,420,400,65,UNKNOWN,COSMOS 699 CLASS,2006,2008,,,,,,,,
IGS 3A R/B,2006-037B,29394,11-Sep-06,28-Dec-06,10,0,490,430,97.2,UNKNOWN,H-IIA SECOND STAGE,2006,2006,,,,,,,,
COSMOS 2423,2006-039A,29402,14-Sep-06,17-Nov-06,31,0,285,200,64.9,DELIBERATE,SELF-DESTRUCT,2006,2006,,,,,,,,
DMSP 5D-3 F17 R/B,2006-050B,29523,4-Nov-06,4-Nov-06,65,0,865,830,98.8,UNKNOWN,DELTA IV SECOND STAGE,2006,2006,,,,,,,,
USA 193,2006-057A,29651,14-Dec-06,21-Feb-08,175,0,255,245,58.5,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,2006,2008,,,,,,,,
COSMOS 2424-2426 ULLAGE MOTOR,2006-062G,29680,25-Dec-06,27-Jul-16,9,8,19088,426,64.8,PROPULSION,PROTON-K BLOCK DM SOZ,2006,2016,,,,,,,,
BEIDOU 1D R/B,2007-003B,30324,2-Feb-07,2-Feb-07,39,36,41900,235,25,UNKNOWN,CZ-3A FINAL STAGE,2007,2007,,,,,,,,
IGS 4A/4B R/B DEBRIS,2007-005E,30590,24-Feb-07,23-Dec-10,4,0,440,430,97.3,UNKNOWN,H-IIA DEBRIS,2007,2010,,,,,,,,
COSMOS 2428,2007-029A,31792,29-Jun-07,10-May-14,10,2,860,845,71,UNKNOWN,,2007,2014,,,,,,,,
COSMOS 2431-33 ULLAGE MOTOR,2007-052F,32280,26-Oct-07,13-Aug-14,25,25,18790,730,65,PROPULSION,PROTON-K BLOCK DM SOZ,2007,2014,,,,,,,,
USA 197 R/B,2007-054B,32288,11-Nov-07,11-Nov-07,32,32,1575,220,29,UNKNOWN,DELTA IV SECOND STAGE,2007,2007,,,,,,,,
COSMOS 2434-36 ULLAGE MOTOR,2007-065G,32399,25-Dec-07,18-Aug-11,1,1,18965,540,65,PROPULSION,PROTON-K BLOCK DM SOZ,2007,2011,,,,,,,,
AMC 14 BRIZ-M R/B,2008-011B,32709,14-Mar-08,13-Oct-10,116,115,26565,645,48.9,PROPULSION,PROTON-K BRIZ-M STAGE,2008,2010,,,,,,,,
COSMOS 2442-44 ULLAGE MOTOR,2008-046H,33385,25-Sep-08,20-May-14,11,10,18720,865,65,PROPULSION,PROTON-K BLOCK DM SOZ,2008,2014,,,,,,,,
COSMOS 2447-49 ULLAGE MOTOR,2008-067H,33473,25-Dec-08,1-Jun-16,12,12,18786,709,65.3,,,2008,2016,,,,,,,,
ULLAGE MOTOR,2008-067G,33472,25-Dec-08,26-Mar-16,4,4.1,18840,682,65.4,PROPULSION,PROTON-K BLOCK DM SOZ,2008,2016,,,,,,,,
COSMOS 2459-61 ULLAGE MOTOR,2010-007G,36406,1-Mar-10,9-Jul-14,11,11,18750,770,65,PROPULSION,PROTON-K BLOCK DM SOZ,2010,2014,,,,,,,,
BEIDOU G2,2009-018A,34779,14-Apr-09,29-Jun-16,1,1.1,36137,35384,4.7,UNKNOWN,Unnamed: 0,2009,2016,,,,,,,,
COSMOS 2464-2466 ULLAGE MOTOR,2010-041G,37143,2-Sep-10,3-Sep-17,10,10,18684,756,65.2,PROPULSION,PROTON-K BLOCK DM SOZ,2010,2017,,,,,,,,
ULLAGE MOTOR,2010-007H,36407,1-Mar-10,22-May-18,11,11.1,18929,602,65.1,PROPULSION,PROTON-K BLOCK DM SOZ,2010,2018,,,,,,,,
BEIDOU G4 R/B,2010-057B,37211,1-Nov-10,1-Nov-10,57,55,35780,160,20.5,UNKNOWN,CZ-3C FINAL STAGE,2010,2010,,,,,,,,
SL-23 DEBRIS,2011-037B,37756,4-Aug-15,4-Aug-15,1,1,3649,428,51.4,UNKNOWN,Fregat-SB SBB propellant tank,2015,2015,,,,,,,,
NIGCOMSAT 1R R/B,2011-077B,38015,21-Dec-11,21-Dec-11,39,39,41715,230,24.3,UNKNOWN,CZ-3B FINAL STAGE,2011,2011,,,,,,,,
BEIDOU G5 R/B,2012-008B,38092,24-Feb-12,26-Feb-12,38,37,35950,150,20.7,UNKNOWN,CZ-3C FINAL STAGE,2012,2012,,,,,,,,
NIMIQ 6 R/B,2012-026B,38343,17-May-12,23-Dec-15,11,11,34592,10408,12,UNKNOWN,Briz-M CORE,2012,2015,,,,,,,,
TELKOM 3/ EXPRESS MD2 BRIZ-M R/B,2012-044C,38746,6-Aug-12,16-Oct-12,113,20,5010,265,49.9,PROPULSION,PROTON-K BRIZ-M STAGE,2012,2012,,,,,,,,
CASSIOPE R/B,2013-055B,39266,29-Sep-13,29-Sep-13,16,1,1490,320,81,PROPULSION,FALCON 9 SECOND STAGE,2013,2013,,,,,,,,
SENTINEL 1A,2014-016A,39634,3-Apr-14,23-Aug-16,8,3,698,696,98.2,"COLLISION, ACCIDENTAL",Solar array impact by small MMOD,2014,2016,,,,,,,,
PROGRESS-M 27M R/B,2015-024B,40620,28-Apr-15,28-Apr-15,21,0,181,169,51.7,UNKNOWN,Soyuz 2.1a (3); separation with PROGRESS M-27M,2015,2015,,,,,,,,
COSMOS 2513 R/B,2015-075B,41122,13-Dec-15,16-Jan-16,7,7,35777,33426,0.2,UNKNOWN,Briz-M CORE,2015,2016,,,,,,,,
ASTRO H (HITOMI),2016-012A,41337,17-Feb-16,26-Mar-16,13,10,578,563,31,PROPULSION,likely structural failure mechanism,2016,2016,,,,,,,,
FREGAT DEB (TANK),2017-086C,43089,4-Sep-10,4-Sep-10,5,2,4070,277,50.4,UNKNOWN,SL-23 Fregat SB SBB propellant tank,2010,2010,,,,,,,,
CHINASAT 6A R/B,2010-042B,37151,4-Sep-10,4-Sep-10,30,29,41894,194,25.2,UNKNOWN,Unnamed: 1,2010,2010,,,,,,,,
